assessment_category,description,assessment_name_examples,assessment_group
sat_sedative_infusion,"Checks whether the patient is receiving sedative infusions, for e.g., sedatives used for seizure control or alcohol withdrawal. Sedation for these conditions must be absent for the SAT to proceed.","SAT Screen - Sedative Infusion, Continuous Sedation Check, Active Sedation Status",Spontaneous Awakening Trial (SAT)
sbt_agitation,"Determines if the patient is excessively agitated, which would indicate they are not ready to tolerate breathing on their own.","SBT Screen - Agitation Level, Patient Agitation Check, Excessive Agitation Status",Spontaneous Breathing Trial (SBT)
sbt_delivery_pass_fail,"Indicates the outcome of the SAT trial (pass or fail), based on flowsheet data charted by the care team. This variable reflects the result of the trial, not whether it was attempted or initiated.","SBT Trial Result, Breathing Trial Outcome, SBT Pass/Fail Status",SBT Delivery Pass/Fail
sbt_delivery_performed,Check for whether the trial was attempted (Boolean:  0/1),"SBT Trial Performed, Breathing Trial Attempted, SBT Completion Status",SBT Delivery
sbt_fail_reason,"A text string field to document the reason for SBT failure, if present (e.g., ""tachypnea,"" ""acute change in mental status,"" or ""hypoxemia"").","SBT Failure Reason, Breathing Trial Failure Documentation, SBT Discontinuation Reason",SBT Failure Reason
sbt_inadequate_oxygenation,Assesses for hypoxia or inadequate oxygen levels (SpO_ < 88% or FiO_ � 50%). Sufficient oxygenation is required before the SBT can be conducted.,"SBT Screen - Oxygenation Status, Hypoxia Check, Adequate O2 Assessment",Spontaneous Breathing Trial (SBT)
sbt_intracranial_pressure,Monitors for elevated intracranial pressure. Increased pressure is a critical factor for SBT exclusion.,"SBT Screen - ICP Check, Intracranial Pressure Status, ICP Contraindication",Spontaneous Breathing Trial (SBT)
sbt_no_spontaneous_effort,"Identifies the absence of spontaneous breathing efforts. If no spontaneous effort is detected, the trial cannot proceed.","SBT Screen - Spontaneous Effort, Breathing Effort Check, Respiratory Drive Assessment",Spontaneous Breathing Trial (SBT)
sbt_screen_pass_fail,Indicates whether the patient passed or failed the SBT safety screen,"SBT Safety Screen Result, SBT Screen Outcome, Breathing Trial Screen Pass/Fail",SBT Screen Pass/Fail
sbt_screen_performed,Check for  whether the screen was conducted (Boolean:  0/1),"SBT Screen Completed, Safety Screen Performed, SBT Screen Documentation",SBT Screen
sbt_vasopressor_use,"Evaluate whether the patient is on significant doses of vasopressors (medications used to support blood pressure). High doses can be a sign of hemodynamic instability, preventing the SBT.","SBT Screen - Vasopressor Requirement, High-Dose Pressors, Hemodynamic Stability Check",Spontaneous Breathing Trial (SBT)
TOF,Number of twitches (Score range: 0-4),"Train-of-Four, TOF Stimulation, Neuromuscular Blockade Assessment",Neurological
VAS,Numeric score (Score range: 0-100),"Visual Analog Scale Pain, VAS Pain Score, 0-100 Pain Rating",Pain
WAT,Score (Score range: 0-10),"Withdrawal Assessment Tool, WAT-1 Pediatric, Pediatric Withdrawal Score",Withdrawal

